xor_grid_bcast: kiss=2.7164 strat=4.0386
gray_code_bcast: kiss=2.0108 strat=3.9962
piecewise_bcast: kiss=2.2837 strat=2.0866
triangle_num_bcast: kiss=2.3129 strat=
popcount_bcast: kiss=2.3271 strat=3.9896
hamming_dist_bcast: kiss=2.4251 strat=3.9440
cond_xor_bcast: kiss=2.4180 strat=3.8710
sum_popcount_bcast: kiss=3.3696 strat=2.7302
sign_alt_bcast: kiss=2.6802 strat=3.9489
perm_shuffle_bcast: kiss=2.2985 strat=3.9834
mod_sq_bcast: kiss=2.1229 strat=4.0624
nested_mod_bcast: kiss=2.2687 strat=4.0096
