xor_grid_bcast: kiss=2.5147 strat=5.2532
gray_code_bcast: kiss=2.1996 strat=5.1545
sum_across_ranks_comm: kiss=5.1382 strat=5.1911
max_across_ranks_comm: kiss=5.1297 strat=5.1195
concat_all_ranks_comm: kiss=5.0120 strat=5.0726
dot_across_ranks_comm: kiss=5.0837 strat=5.2467
shift_neighbor_comm: kiss= strat=
reduce_scatter_sum_comm: kiss=5.2146 strat=5.2233
mean_max_normalize_comm: kiss=5.3427 strat=5.1644
rank_prefix_sum_comm: kiss=5.2048 strat=5.1928
center_by_mean_comm: kiss=5.0772 strat=5.2850
top_k_scalars_comm: kiss=5.1231 strat=5.0681
