const_1d_N=16	us=60.7
arith_1d_N=16_nops=1	us=82.2
arith_1d_N=16_nops=3	us=813.4
arith_1d_N=16_nops=7	us=821.8
arith_1d_N=16_nops=15	us=276.8
const_1d_N=32	us=87.0
arith_1d_N=32_nops=1	us=1041.9
arith_1d_N=32_nops=3	us=921.5
arith_1d_N=32_nops=7	us=917.9
arith_1d_N=32_nops=15	us=1036.8
const_1d_N=64	us=68.6
arith_1d_N=64_nops=1	us=1067.5
arith_1d_N=64_nops=3	us=1023.7
arith_1d_N=64_nops=7	us=1049.2
arith_1d_N=64_nops=15	us=1111.0
const_1d_N=128	us=81.1
arith_1d_N=128_nops=1	us=1119.9
arith_1d_N=128_nops=3	us=1014.3
arith_1d_N=128_nops=7	us=1102.2
arith_1d_N=128_nops=15	us=1115.1
const_1d_N=256	us=78.9
arith_1d_N=256_nops=1	us=1065.5
arith_1d_N=256_nops=3	us=1112.6
arith_1d_N=256_nops=7	us=1003.4
arith_1d_N=256_nops=15	us=1030.8
const_1d_N=512	us=141.4
arith_1d_N=512_nops=1	us=1053.6
arith_1d_N=512_nops=3	us=851.4
arith_1d_N=512_nops=7	us=1017.2
arith_1d_N=512_nops=15	us=1128.7
const_1d_N=1024	us=139.6
arith_1d_N=1024_nops=1	us=915.2
arith_1d_N=1024_nops=3	us=1008.5
arith_1d_N=1024_nops=7	us=973.3
arith_1d_N=1024_nops=15	us=845.7
const_2d_N=8	us=61.2
arith_2d_N=8_nops=1	us=758.9
arith_2d_N=8_nops=3	us=1036.9
arith_2d_N=8_nops=7	us=810.2
const_2d_N=16	us=79.8
arith_2d_N=16_nops=1	us=840.6
arith_2d_N=16_nops=3	us=817.8
arith_2d_N=16_nops=7	us=1008.9
const_2d_N=32	us=160.5
arith_2d_N=32_nops=1	us=911.8
arith_2d_N=32_nops=3	us=970.3
arith_2d_N=32_nops=7	us=673.7
const_2d_N=64	us=399.4
arith_2d_N=64_nops=1	us=1015.2
arith_2d_N=64_nops=3	us=1079.7
arith_2d_N=64_nops=7	us=1118.6
const_2d_N=128	us=1541.3
arith_2d_N=128_nops=1	us=132.0
arith_2d_N=128_nops=3	us=138.3
arith_2d_N=128_nops=7	us=224.5
